code,name,level
42.91.10.139,"Причалы, молы, пирсы и аналогичные сооружения прочие",4
42.91.10.140,Сооружения для движения водного транспорта по рекам и каналам,4
42.91.10.150,Плотины и аналогичные водоудерживающие сооружения и насыпи для береговых и прочих прибрежных участков,4
42.91.10.160,Берегоукрепление,4
42.91.2,"Работы строительные по строительству береговых и портовых сооружений, плотин, шлюзов и связанных гидромеханических сооружений",3
42.91.20,"Работы строительные по строительству береговых и портовых сооружений, плотин, шлюзов и связанных гидромеханических сооружений",3
42.91.20.100,"Работы строительные по строительству береговых и портовых сооружений, плотин, шлюзов и связанных гидромеханических сооружений, кроме работ по сохранению и воссозданию объектов культурного наследия",4
42.91.20.110,"Работы строительные по строительству портовых и речных сооружений, пристаней для яхт, набережных, пирсов, молов, доков и аналогичных портовых сооружений, включая ремонт",4
42.91.20.120,"Работы строительные по строительству плотин и дамб, включая ремонт",4
42.91.20.130,"Работы строительные и ремонтные, связанные со шлюзами, шлюзовыми затворами, затворами, судоподъемниками, сухими доками, слипами, водоподъемными плотинами и прочими гидромеханическими сооружениями",4
42.91.20.140,"Работы дноуглубительные, работы по удалению скальных пород и илистых отложений и прочие строительные гидротехнические работы",4
42.91.20.150,"Работы подводные (проводимые водолазами, аквалангистами или с использованием прочих технологий) и различные гидротехнические работы",4
42.91.20.190,"Работы строительные и ремонтные, связанные с прочими водными сооружениями и работы по ремонту всех вышеуказанных сооружений",4
42.91.20.200,"Работы по сохранению и воссозданию береговых и портовых сооружений, плотин, шлюзов и связанных гидромеханических сооружений, являющихся объектами культурного наследия",4
42.91.20.210,"Работы по сохранению и воссозданию пристаней, пирсов и аналогичных портовых сооружений, являющихся объектами культурного наследия",4
42.91.20.220,"Работы по сохранению и воссозданию плотин и дамб, являющихся объектами культурного наследия",4
42.91.20.230,"Работы по сохранению и воссозданию шлюзов и связанных гидромеханических сооружений, являющихся объектами культурного наследия",4
42.91.20.290,"Работы по сохранению и воссозданию прочих водных сооружений, являющихся объектами культурного наследия",4
42.99,"Сооружения и строительные работы по строительству прочих гражданских сооружений, не включенных в другие группировки",2
42.99.1,Сооружения гражданские прочие,3
42.99.11,"Сооружения для горнодобывающей, добывающей и обрабатывающей промышленности",3
42.99.11.110,Сооружения для горнодобывающей промышленности и связанные сооружения,4
42.99.11.111,Станции погрузки и разгрузки,4
42.99.11.112,Стволы шахтные главные и шахтные коперы,4
42.99.11.113,"Тоннели и горизонтальные выработки, связанные с горными работами",4
42.99.11.119,"Сооружения для горнодобывающей промышленности и связанные сооружения прочие, не включенные в другие группировки",4
42.99.11.120,"Сооружения для производства основных химических веществ, соединений, фармацевтических препаратов и прочих химических продуктов",4
42.99.11.130,Печи доменные и коксовые печи,4
42.99.11.140,Сооружения для обустройства добычи нефти и газа,4
42.99.11.141,Скважина газовая для разведочного бурения,4
42.99.11.142,Скважина газовая для эксплуатационного бурения,4
42.99.11.143,Скважина газовая эксплуатационная,4
42.99.11.144,Скважина нефтяная эксплуатационная,4
42.99.11.149,Сооружения для обустройства месторождений прочие,4
42.99.11.190,"Объекты специализированные для обрабатывающей промышленности, не включенные в другие группировки",4
42.99.11.191,Цеха чугунолитейные,4
42.99.11.199,"Объекты специализированные для обрабатывающей промышленности прочие, не включенные в другие группировки",4
42.99.12,Сооружения для занятий спортом и отдыха,3
42.99.12.110,Площадки спортивные для спортивных игр на открытом воздухе,4
42.99.12.120,Объекты и сооружения для отдыха,4
42.99.12.121,Площадки для игры в гольф,4
42.99.12.122,Сооружения пляжные,4
42.99.12.123,Убежища горные,4
42.99.12.124,Территории парковые и парки для отдыха,4
42.99.19,"Сооружения гражданские прочие, не включенные в другие группировки",3
42.99.19.110,Площадки производственные,4
42.99.19.111,Площадки производственные без покрытий,4
42.99.19.112,Площадки производственные с покрытиями,4
42.99.19.120,Полигон складирования бытовых отходов,4
42.99.19.130,Коллекторы для укладки труб,4
42.99.19.140,Ограды (заборы) и ограждения,4
42.99.19.141,Ограды (заборы) и ограждения железобетонные,4
42.99.19.142,Ограды (заборы) металлические,4
42.99.19.149,Ограды (заборы) и ограждения прочие,4
42.99.19.190,"Сооружения гражданские прочие, не включенные в другие группировки",4
42.99.2,Работы строительные по строительству прочих гражданских сооружений,3
42.99.21,Работы строительные по строительству сооружений для горнодобывающей и обрабатывающей промышленности,3
42.99.21.110,"Работы строительные и ремонтные, связанные с горнодобывающей промышленностью",4
42.99.21.111,Строительство и ремонт станций погрузки и разгрузки,4
42.99.21.112,Строительство и ремонт главных шахтных стволов,4
42.99.21.113,Строительство и ремонт чугунолитейных цехов,4
42.99.21.114,Строительство и ремонт доменных печей и коксовых печей,4
42.99.21.119,"Работы строительные и ремонтные, связанные с горнодобывающей промышленностью прочие, не включенные в другие группировки",4
42.99.21.120,Работы строительные по строительству сооружений для обрабатывающей промышленности,4
42.99.21.121,Работы строительные по строительству новых сооружений для обрабатывающей промышленности,4
42.99.21.122,Работы строительные по ремонту сооружений для обрабатывающей промышленности,4
42.99.22,Работы строительные по строительству открытых стадионов и спортивных площадок,3
